3ount,O3,O5,O4,W24,W25,W13,W15,W14,W23,W46,W56,W36,Err1,Err3,Err2,Err5,Err4,Err6,O6
213,0.93857005,0.99324254,0.01477802,-3.07991315,0.49616551,-2.65452614,3.99808276,1.96004343,2.69094772,0.63997711,-2.08549286,-2.58875181,0.00000000,0.00001819,0.00000000,0.00000171,-0.00000114,-0.00012190,0.01110282
214,0.93862246,0.99324312,0.01477719,-3.07993576,0.49619947,-2.65434520,3.99809974,1.96003212,2.69130961,0.63995918,-2.08669793,-2.58989060,0.00000000,0.00001809,0.00000000,0.00000170,-0.00000113,-0.00012133,0.01107635
215,0.93867456,0.99324369,0.01477637,-3.07995826,0.49623329,-2.65416517,3.99811665,1.96002087,2.69166967,0.63994134,-2.08789731,-2.59102410,0.00000000,0.00001800,0.00000000,0.00000169,-0.00000113,-0.00012075,0.01105006
216,0.93872635,0.99324425,0.01477555,-3.07998065,0.49626697,-2.65398605,3.99813349,1.96000967,2.69202791,0.63992358,-2.08909107,-2.59215233,0.00000000,0.00001791,0.00000000,0.00000168,-0.00000112,-0.00012019,0.01102396
217,0.93877785,0.99324482,0.01477474,-3.08000294,0.49630051,-2.65380783,3.99815025,1.95999853,2.69238435,0.63990590,-2.09027926,-2.59327536,0.00000000,0.00001782,0.00000000,0.00000168,-0.00000111,-0.00011963,0.01099804
218,0.93882904,0.99324538,0.01477392,-3.08002512,0.49633390,-2.65363049,3.99816695,1.95998744,2.69273901,0.63988831,-2.09146192,-2.59439323,0.00000000,0.00001773,0.00000000,0.00000167,-0.00000111,-0.00011907,0.01097230
219,0.93887994,0.99324594,0.01477312,-3.08004719,0.49636716,-2.65345405,3.99818358,1.95997640,2.69309191,0.63987080,-2.09263911,-2.59550598,0.00000000,0.00001764,0.00000000,0.00000166,-0.00000110,-0.00011852,0.01094674
220,0.93893055,0.99324650,0.01477231,-3.08006917,0.49640028,-2.65327847,3.99820014,1.95996542,2.69344306,0.63985337,-2.09381087,-2.59661367,0.00000000,0.00001756,0.00000000,0.00000166,-0.00000110,-0.00011797,0.01092135
221,0.93898087,0.99324705,0.01477151,-3.08009104,0.49643326,-2.65310376,3.99821663,1.95995448,2.69379248,0.63983603,-2.09497727,-2.59771634,0.00000000,0.00001747,0.00000000,0.00000165,-0.00000109,-0.00011743,0.01089614
222,0.93903090,0.99324761,0.01477072,-3.08011281,0.49646611,-2.65292991,3.99823306,1.95994360,2.69414018,0.63981876,-2.09613833,-2.59881403,0.00000000,0.00001739,0.00000000,0.00000164,-0.00000109,-0.00011690,0.01087111
223,0.93908065,0.99324816,0.01476993,-3.08013448,0.49649883,-2.65275690,3.99824941,1.95993276,2.69448619,0.63980157,-2.09729413,-2.59990679,0.00000000,0.00001730,0.00000000,0.00000164,-0.00000108,-0.00011636,0.01084624
224,0.93913011,0.99324871,0.01476914,-3.08015604,0.49653141,-2.65258474,3.99826571,1.95992198,2.69483052,0.63978447,-2.09844469,-2.60099466,0.00000000,0.00001722,0.00000000,0.00000163,-0.00000108,-0.00011584,0.01082154
225,0.93917930,0.99324925,0.01476835,-3.08017751,0.49656386,-2.65241341,3.99828193,1.95991124,2.69517318,0.63976744,-2.09959007,-2.60207769,0.00000000,0.00001713,0.00000000,0.00000162,-0.00000107,-0.00011532,0.01079701
226,0.93922822,0.99324980,0.01476757,-3.08019889,0.49659618,-2.65224291,3.99829809,1.95990056,2.69551418,0.63975048,-2.10073032,-2.60315592,0.00000000,0.00001705,0.00000000,0.00000162,-0.00000107,-0.00011480,0.01077264
227,0.93927686,0.99325034,0.01476680,-3.08022016,0.49662837,-2.65207322,3.99831419,1.95988992,2.69585356,0.63973361,-2.10186548,-2.60422940,0.00000000,0.00001697,0.00000000,0.00000161,-0.00000106,-0.00011429,0.01074844
228,0.93932523,0.99325088,0.01476602,-3.08024134,0.49666044,-2.65190435,3.99833022,1.95987933,2.69619131,0.63971681,-2.10299559,-2.60529815,0.00000000,0.00001689,0.00000000,0.00000160,-0.00000106,-0.00011378,0.01072440
229,0.93937334,0.99325142,0.01476525,-3.08026242,0.49669237,-2.65173627,3.99834619,1.95986879,2.69652745,0.63970008,-2.10412071,-2.60636224,0.00000000,0.00001681,0.00000000,0.00000160,-0.00000105,-0.00011328,0.01070051
230,0.93942118,0.99325195,0.01476449,-3.08028341,0.49672418,-2.65156900,3.99836209,1.95985829,2.69686200,0.63968343,-2.10524086,-2.60742168,0.00000000,0.00001673,0.00000000,0.00000159,-0.00000105,-0.00011278,0.01067679
231,0.93946876,0.99325248,0.01476372,-3.08030431,0.49675587,-2.65140251,3.99837793,1.95984785,2.69719498,0.63966685,-2.10635611,-2.60847654,0.00000000,0.00001665,0.00000000,0.00000158,-0.00000104,-0.00011228,0.01065322
232,0.93951608,0.99325301,0.01476296,-3.08032511,0.49678743,-2.65123680,3.99839371,1.95983745,2.69752639,0.63965035,-2.10746648,-2.60952684,0.00000000,0.00001657,0.00000000,0.00000158,-0.00000104,-0.00011179,0.01062980
233,0.93956315,0.99325354,0.01476221,-3.08034582,0.49681886,-2.65107187,3.99840943,1.95982709,2.69785626,0.63963392,-2.10857203,-2.61057262,0.00000000,0.00001649,0.00000000,0.00000157,-0.00000104,-0.00011131,0.01060654
234,0.93960996,0.99325407,0.01476145,-3.08036644,0.49685018,-2.65090771,3.99842509,1.95981678,2.69818459,0.63961756,-2.10967279,-2.61161393,0.00000000,0.00001642,0.00000000,0.00000157,-0.00000103,-0.00011082,0.01058343
235,0.93965652,0.99325459,0.01476070,-3.08038696,0.49688137,-2.65074430,3.99844069,1.95980652,2.69851140,0.63960127,-2.11076880,-2.61265080,0.00000000,0.00001634,0.00000000,0.00000156,-0.00000103,-0.00011035,0.01056047
236,0.93970283,0.99325512,0.01475996,-3.08040740,0.49691245,-2.65058165,3.99845622,1.95979630,2.69883670,0.63958505,-2.11186011,-2.61368328,0.00000000,0.00001627,0.00000000,0.00000155,-0.00000102,-0.00010987,0.01053765
237,0.93974889,0.99325564,0.01475921,-3.08042775,0.49694340,-2.65041975,3.99847170,1.95978612,2.69916051,0.63956891,-2.11294675,-2.61471138,0.00000000,0.00001619,0.00000000,0.00000155,-0.00000102,-0.00010940,0.01051499
238,0.93979471,0.99325616,0.01475847,-3.08044801,0.49697424,-2.65025858,3.99848712,1.95977599,2.69948283,0.63955283,-2.11402877,-2.61573516,0.00000000,0.00001612,0.00000000,0.00000154,-0.00000101,-0.00010894,0.01049246
239,0.93984029,0.99325667,0.01475774,-3.08046819,0.49700496,-2.65009815,3.99850248,1.95976591,2.69980369,0.63953682,-2.11510621,-2.61675465,0.00000000,0.00001604,0.00000000,0.00000154,-0.00000101,-0.00010847,0.01047008
240,0.93988563,0.99325719,0.01475700,-3.08048828,0.49703556,-2.64993845,3.99851778,1.95975586,2.70012309,0.63952088,-2.11617909,-2.61776989,0.00000000,0.00001597,0.00000000,0.00000153,-0.00000100,-0.00010802,0.01044784
241,0.93993073,0.99325770,0.01475627,-3.08050828,0.49706605,-2.64977947,3.99853302,1.95974586,2.70044105,0.63950501,-2.11724747,-2.61878091,0.00000000,0.00001590,0.00000000,0.00000152,-0.00000100,-0.00010756,0.01042574
242,0.93997559,0.99325821,0.01475555,-3.08052819,0.49709642,-2.64962121,3.99854821,1.95973590,2.70075758,0.63948920,-2.11831138,-2.61978774,0.00000000,0.00001583,0.00000000,0.00000152,-0.00000100,-0.00010711,0.01040378
243,0.94002022,0.99325872,0.01475482,-3.08054803,0.49712668,-2.64946365,3.99856334,1.95972599,2.70107269,0.63947346,-2.11937085,-2.62079042,0.00000000,0.00001576,0.00000000,0.00000151,-0.00000099,-0.00010667,0.01038196
244,0.94006463,0.99325922,0.01475410,-3.08056778,0.49715682,-2.64930680,3.99857841,1.95971611,2.70138640,0.63945779,-2.12042592,-2.62178899,0.00000000,0.00001569,0.00000000,0.00000151,-0.00000099,-0.00010622,0.01036028
245,0.94010880,0.99325973,0.01475338,-3.08058744,0.49718686,-2.64915064,3.99859343,1.95970628,2.70169871,0.63944219,-2.12147663,-2.62278348,0.00000000,0.00001562,0.00000000,0.00000150,-0.00000098,-0.00010578,0.01033872
246,0.94015274,0.99326023,0.01475267,-3.08060702,0.49721678,-2.64899518,3.99860839,1.95969649,2.70200964,0.63942664,-2.12252302,-2.62377391,0.00000000,0.00001555,0.00000000,0.00000150,-0.00000098,-0.00010535,0.01031730
247,0.94019647,0.99326073,0.01475196,-3.08062652,0.49724659,-2.64884040,3.99862330,1.95968674,2.70231920,0.63941117,-2.12356511,-2.62476033,0.00000000,0.00001548,0.00000000,0.00000149,-0.00000098,-0.00010492,0.01029602
248,0.94023997,0.99326123,0.01475125,-3.08064594,0.49727630,-2.64868630,3.99863815,1.95967703,2.70262741,0.63939575,-2.12460295,-2.62574277,0.00000000,0.00001541,0.00000000,0.00000149,-0.00000097,-0.00010449,0.01027486
249,0.94028324,0.99326173,0.01475054,-3.08066528,0.49730589,-2.64853287,3.99865295,1.95966736,2.70293426,0.63938040,-2.12563656,-2.62672126,0.00000000,0.00001534,0.00000000,0.00000148,-0.00000097,-0.00010406,0.01025383
250,0.94032631,0.99326222,0.01474984,-3.08068454,0.49733538,-2.64838011,3.99866769,1.95965773,2.70323978,0.63936512,-2.12666599,-2.62769582,0.00000000,0.00001528,0.00000000,0.00000147,-0.00000096,-0.00010364,0.01023293
251,0.94036915,0.99326272,0.01474914,-3.08070373,0.49736476,-2.64822801,3.99868238,1.95964814,2.70354397,0.63934989,-2.12769127,-2.62866650,0.00000000,0.00001521,0.00000000,0.00000147,-0.00000096,-0.00010322,0.01021215
252,0.94041178,0.99326321,0.01474845,-3.08072283,0.49739403,-2.64807657,3.99869702,1.95963859,2.70384686,0.63933473,-2.12871243,-2.62963332,0.00000000,0.00001514,0.00000000,0.00000146,-0.00000096,-0.00010281,0.01019150
253,0.94045420,0.99326370,0.01474775,-3.08074185,0.49742320,-2.64792578,3.99871160,1.95962907,2.70414843,0.63931963,-2.12972950,-2.63059632,0.00000000,0.00001508,0.00000000,0.00000146,-0.00000095,-0.00010240,0.01017098
